5,2021-06-11 02:42:40,01F3590S,2021-06-11 02:50:15,01F3686S,13.400,Y,2021-06-11 02:42:40+01F3590S; 2021-06-11 02:46:39+01F3640S; 2021-06-11 02:49:28+01F3676S; 2021-06-11 02:50:15+01F3686S
31,2021-06-11 02:02:45,01F0248S,2021-06-11 02:02:45,01F0248S,1.900,Y,2021-06-11 02:02:45+01F0248S
42,2021-06-11 02:46:45,01F0633N,2021-06-11 02:49:42,01F0584N,8.000,Y,2021-06-11 02:46:45+01F0633N; 2021-06-11 02:49:42+01F0584N
31,2021-06-11 02:22:16,01F2425N,2021-06-11 02:22:16,01F2425N,3.200,Y,2021-06-11 02:22:16+01F2425N
31,2021-06-11 02:21:32,01F2011S,2021-06-11 02:21:32,01F2011S,9.300,Y,2021-06-11 02:21:32+01F2011S
5,2021-06-11 02:06:54,01F2603S,2021-06-11 02:11:20,01F2674S,13.200,Y,2021-06-11 02:06:54+01F2603S; 2021-06-11 02:11:20+01F2674S
5,2021-06-11 02:23:19,01F2866S,2021-06-11 02:43:08,01F3185S,46.700,Y,2021-06-11 02:23:19+01F2866S; 2021-06-11 02:27:17+01F2930S; 2021-06-11 02:32:52+01F3019S; 2021-06-11 02:36:50+01F3083S; 2021-06-11 02:39:28+01F3126S; 2021-06-11 02:43:08+01F3185S
5,2021-06-11 02:47:17,01F3252S,2021-06-11 02:47:17,01F3252S,7.800,Y,2021-06-11 02:47:17+01F3252S
5,2021-06-11 02:54:26,01F3366S,2021-06-11 03:11:39,01F3640S,36.700,Y,2021-06-11 02:54:26+01F3366S; 2021-06-11 02:56:22+01F3398S; 2021-06-11 03:00:22+01F3460S; 2021-06-11 03:04:27+01F3525S; 2021-06-11 03:06:45+01F3561S; 2021-06-11 03:08:33+01F3590S; 2021-06-11 03:11:39+01F3640S
5,2021-06-11 02:10:15,01F3736N,2021-06-11 03:03:38,01F3019N,74.830,Y,2021-06-11 02:10:15+01F3736N; 2021-06-11 02:13:36+01F3696N; 2021-06-11 02:15:08+01F3676N; 2021-06-11 02:17:44+01F3640N; 2021-06-11 02:21:21+01F3590N; 2021-06-11 02:23:39+01F3559N; 2021-06-11 02:26:08+01F3525N; 2021-06-11 02:30:49+01F3460N; 2021-06-11 02:35:15+01F3398N; 2021-06-11 02:37:29+01F3366N; 2021-06-11 02:43:17+01F3286N; 2021-06-11 02:45:46+01F3252N; 2021-06-11 02:47:35+01F3227N; 2021-06-11 02:50:37+01F3185N; 2021-06-11 02:55:59+01F3126N; 2021-06-11 02:59:06+01F3083N; 2021-06-11 03:03:38+01F3019N
32,2021-06-11 02:19:11,01F0293N,2021-06-11 02:19:11,01F0293N,6.000,Y,2021-06-11 02:19:11+01F0293N
42,2021-06-11 02:54:46,01F0511N,2021-06-11 02:54:46,01F0511N,3.400,Y,2021-06-11 02:54:46+01F0511N
32,2021-06-11 02:09:48,01F2249S,2021-06-11 02:29:06,01F2603S,44.200,Y,2021-06-11 02:09:48+01F2249S; 2021-06-11 02:13:46+01F2322S; 2021-06-11 02:17:42+01F2394S; 2021-06-11 02:19:28+01F2425S; 2021-06-11 02:22:39+01F2483S; 2021-06-11 02:24:19+01F2514S; 2021-06-11 02:29:06+01F2603S
32,2021-06-11 02:15:54,01F0928N,2021-06-11 02:15:54,01F0928N,4.400,Y,2021-06-11 02:15:54+01F0928N
31,2021-06-11 02:10:38,01F3640N,2021-06-11 02:10:38,01F3640N,5.000,Y,2021-06-11 02:10:38+01F3640N
42,2021-06-11 02:14:11,03F0394N,2021-06-11 02:18:50,03F0338N,11.900,Y,2021-06-11 02:14:11+03F0394N; 2021-06-11 02:18:50+03F0338N
42,2021-06-11 02:05:56,01F0467N,2021-06-11 02:05:56,01F0467N,7.600,Y,2021-06-11 02:05:56+01F0467N
31,2021-06-11 02:54:48,03F1022N,2021-06-11 03:01:48,01F0880N,18.700,Y,2021-06-11 02:54:48+03F1022N; 2021-06-11 02:56:35+01F0979N; 2021-06-11 02:57:49+01F0956N; 2021-06-11 02:59:26+01F0928N; 2021-06-11 03:01:48+01F0880N
31,2021-06-11 02:57:13,03F0006S,2021-06-11 03:15:54,01H0305S,32.420,Y,2021-06-11 02:57:13+03F0006S; 2021-06-11 03:02:19+03F0087S; 2021-06-11 03:06:59+01H0163S; 2021-06-11 03:09:40+01H0206S; 2021-06-11 03:15:54+01H0305S
42,2021-06-11 02:29:46,01F1839N,2021-06-11 02:33:08,01F1774N,15.200,Y,2021-06-11 02:29:46+01F1839N; 2021-06-11 02:31:42+01F1802N; 2021-06-11 02:33:08+01F1774N
32,2021-06-11 02:35:34,01F3590S,2021-06-11 02:41:03,01F3686S,13.400,Y,2021-06-11 02:35:34+01F3590S; 2021-06-11 02:38:25+01F3640S; 2021-06-11 02:40:29+01F3676S; 2021-06-11 02:41:03+01F3686S
32,2021-06-11 02:07:38,01F0339S,2021-06-11 02:40:59,01F0880S,57.900,Y,2021-06-11 02:07:38+01F0339S; 2021-06-11 02:14:32+01H0447S; 2021-06-11 02:22:43+01H0579S; 2021-06-11 02:24:37+01H0610S; 2021-06-11 02:33:23+01F0750S; 2021-06-11 02:40:59+01F0880S
32,2021-06-11 02:02:33,01F0928N,2021-06-11 02:02:33,01F0928N,4.400,Y,2021-06-11 02:02:33+01F0928N
42,2021-06-11 02:16:37,03F3445N,2021-06-11 02:16:37,03F3445N,6.700,Y,2021-06-11 02:16:37+03F3445N
42,2021-06-11 02:31:56,03F3211N,2021-06-11 02:31:56,03F3211N,2.600,Y,2021-06-11 02:31:56+03F3211N
32,2021-06-11 02:48:36,01F0557N,2021-06-11 02:51:37,01F0511N,7.900,Y,2021-06-11 02:48:36+01F0557N; 2021-06-11 02:50:12+01F0532N; 2021-06-11 02:51:37+01F0511N
5,2021-06-11 02:00:58,03F1395S,2021-06-11 02:00:58,03F1395S,14.100,Y,2021-06-11 02:00:58+03F1395S
42,2021-06-11 02:22:06,03F1710S,2021-06-11 02:23:51,03F1739S,7.100,Y,2021-06-11 02:22:06+03F1710S; 2021-06-11 02:23:51+03F1739S
31,2021-06-11 02:10:58,01F0233N,2021-06-11 02:10:58,01F0233N,1.900,Y,2021-06-11 02:10:58+01F0233N
31,2021-06-11 02:54:44,01F1699S,2021-06-11 02:59:03,01F1774S,10.500,Y,2021-06-11 02:54:44+01F1699S; 2021-06-11 02:59:03+01F1774S
31,2021-06-11 02:00:10,01F3686S,2021-06-11 02:00:10,01F3686S,2.200,Y,2021-06-11 02:00:10+01F3686S
